Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%)
101,4119.3,-345.7,11.91582297,79.20792079
68,4590.4,-177.5,25.86140845,92.64705882
51,3703.3,-105.8,35.00283554,92.15686275
72,6597.6,-188.4,35.01910828,83.33333333
59,5851.7,-212.2,27.57634307,89.83050847
65,7496.5,-419.9,17.85306025,89.23076923
41,5659.3,-150.8,37.52851459,90.24390244
73,6480.9,-107.2,60.45615672,91.78082192
27,4365.1,-18.7,233.4278075,96.2962963
32,4365.6,-60.4,72.2781457,93.75
51,6266.3,-151.1,41.47121112,94.11764706
46,7500.8,-166.2,45.13116727,86.95652174
28,4230.4,-104.7,40.40496657,96.42857143
57,6129.1,-230.5,26.59045553,91.22807018
50,5058,-104.4,48.44827586,96
55,6253.5,-148.9,41.99798522,87.27272727
29,5276.7,-47.7,110.6226415,96.55172414
40,6296,-149.7,42.05744823,97.5
67,8598.1,-160.1,53.70455965,95.52238806
73,6627.9,-234.2,28.30017079,91.78082192
47,5901.1,-290.5,20.31359725,89.36170213
55,5829.5,-159.5,36.54858934,90.90909091
65,6690.5,-212.3,31.51436646,86.15384615
44,8424.2,-88.4,95.29638009,95.45454545
45,6988.5,-130.4,53.59279141,95.55555556
48,4877.4,-103.4,47.17021277,95.83333333
31,4440.3,-32.1,138.3271028,90.32258065
27,4861.1,-32.7,148.6574924,96.2962963
31,4776.3,-22.4,213.2276786,93.5483871
37,3752.1,-50.1,74.89221557,91.89189189
27,3953.1,-7.7,513.3896104,96.2962963
33,4904.9,-7.7,637,96.96969697
38,5686.4,-128.4,44.28660436,94.73684211
38,4783.4,-68.1,70.24082232,92.10526316
40,5099,-91.4,55.78774617,95
41,5223.3,-130.8,39.93348624,90.24390244
34,5509.2,-65.8,83.72644377,88.23529412
28,3469.4,-59.7,58.11390285,96.42857143
